Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ГЛУХОВ ЮРИЙ АНАТОЛЬЕВИЧ 24.03.1956	ГЕНКОНСУЛЬСТВО РОССИИ В ЖЕНЕВЕ, ШВЕЙЦАРИЯ 09.09.2010 08.09.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.12.2006
ГОКЖАЕВ БОРИС МИХАЙЛОВИЧ 05.08.1949	ПРЕД-ВО МИД РОССИИ В РОСТОВЕ-НА-ДОНУ 06.08.2009 	РУКОВОДИТЕЛЬ ТЕРР.ОРГАНА В СУБЪЕКТЕ РФ-ПРЕДСТАВ. МИН-ВА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
ГОЛОВАНОВ МИХАИЛ АЛЕКСЕЕВИЧ 01.03.1957	ДЕПАРТАМЕНТ КАДРОВ 18.08.2008 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
ГОЛОВИН АЛЕКСАНДР АЛЕКСЕЕВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В МАЗАРИ-ШАРИФЕ, АФГАНИСТАН	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
ГОЛУБЕВ ЛЕОНИД ЕВГЕНЬЕВИЧ 06.01.1947	ПОСОЛЬСТВО РОССИИ В БОЛИВИИ 31.05.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.05.2004
ГОЛУБОВСКИЙ ИГОРЬ ЛЕОНИДОВИЧ 29.12.1960	ГЕНСЕКРЕТАРИАТ (ДЕПАРТАМЕНТ) 08.03.2002 	ПОМОЩНИК МИНИСТРА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
ГОНЧАРЕНКО СЕРГЕЙ НИКОЛАЕВИЧ 24.08.1951	ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО СОТРУДНИЧЕСТВА 25.08.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.06.2006
ГОНЧАРОВ ПАВЕЛ ЛЕОНИДОВИЧ 01.11.1951	ПОСОЛЬСТВО РОССИИ В СИНГАПУРЕ 28.08.2011 28.08.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2006
ГОРЕЛОВ ВАДИМ НИКОЛАЕВИЧ 04.10.1962			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 22.11.2010
ГОРЛАЧ ЮРИЙ АНДРЕЕВИЧ 03.09.1960	ДЕПАРТАМЕНТ ОБЩЕЕВРОПЕЙСКОГО СОТРУДНИЧЕСТВА 01.11.2005 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 11.02.2008
ГРАЧЕВ АЛЕКСАНДР ГЕОРГИЕВИЧ 09.09.1955	ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ПРОТОКОЛА 19.01.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
ГРАЩЕНКОВ ЮРИЙ ГРИГОРЬЕВИЧ 11.07.1945	ПОСОЛЬСТВО РОССИИ В БЕНИНЕ 30.07.2008 	ПОСОЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 30.12.1996
ГРЕМИТСКИХ АЛЕКСАНДР ЮРЬЕВИЧ 04.08.1960	ВТОРОЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 19.10.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 14.02.2006
ГРИБКОВ ЮРИЙ ВАСИЛЬЕВИЧ 05.01.1956	ГЕНКОНСУЛЬСТВО РОССИИ В МАРСЕЛЕ, ФРАНЦИЯ 16.09.2007 15.12.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.04.2010
ГРИЦАЙ СЕРГЕЙ НИКОЛАЕВИЧ 31.08.1963	ГЕНКОНСУЛЬСТВО РОССИИ В ГОНКОНГЕ (СЯНГАНЕ), КНР 17.05.2007 17.11.2011	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.09.2009
ГРОЗОВ АНДРЕЙ ЮРЬЕВИЧ	ГЕНКОНСУЛЬСТВО РОССИИ В МЮНХЕНЕ, ФРГ	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.09.2012
ГРУШКО ТАТЬЯНА МИХАЙЛОВНА 20.01.1964	ВТОРОЙ ДЕПАРТАМЕНТ СТРАН СНГ 14.10.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 01.06.2009
ГУЗЕЕВ ЕВГЕНИЙ ФЕДОРОВИЧ 20.10.1951			ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 28.11.2007
ГУСЕВ АЛЕКСАНДР ВАСИЛЬЕВИЧ 12.03.1947	ГЕНКОНСУЛЬСТВО РОССИИ В ДЕБРЕЦЕНЕ, ВЕНГРИЯ 31.08.2008 12.03.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.01.2011
ГУСЬКОВ АНДРЕЙ АНАТОЛЬЕВИЧ 15.12.1961	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 15.06.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.02.2007
ДАВЫДОВ ОЛЕГ ВЛАДИМИРОВИЧ 28.06.1955	ПОСОЛЬСТВО РОССИИ В КОРЕЕ 20.09.2011 20.09.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 06.05.2004
ДВИНЯНИН АЛЕКСЕЙ АРКАДЬЕВИЧ 05.03.1967	ЧЕТВЕРТЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 14.04.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 15.08.2011
ДЕГТЯРЕВ ИГОРЬ ГРИГОРЬЕВИЧ 21.02.1958	ПОСОЛЬСТВО РОССИИ В ГАНЕ 07.07.2007 06.07.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2009
ДЕДОВ АЛЕКСЕЙ ЮРЬЕВИЧ 26.09.1960	ВТОРОЙ ДЕПАРТАМЕНТ АЗИИ 18.01.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2006
