Фамилия Имя Отчество Дата рождения	Текущее подразделение 	Текущая должность	Дипранг
ХУСАНОВ МИРДЖАЛОЛ МИРДЖАМАЛОВИЧ 05.04.1963	КОНСУЛЬСКИЙ ДЕПАРТАМЕНТ 04.04.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 13.04.2009
ХУСНИТДИНОВ ЗУФАР АЗАДОВИЧ 07.02.1957	ВТОРОЙ ДЕПАРТАМЕНТ АЗИИ 02.08.2004 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 18.02.2002
ЦВЕТКОВ ДМИТРИЙ ЮРЬЕВИЧ 19.01.1963	ВТОРОЙ ЕВРОПЕЙСКИЙ ДЕПАРТАМЕНТ 02.03.2009 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.10.2007
ЦУПИКОВ ВЯЧЕСЛАВ ПАРФЕНОВИЧ 25.03.1949	ГЕНКОНСУЛЬСТВО РОССИИ В ЧОНДИНЕ, КНДР 06.07.2007 25.03.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 24.01.1994
ЧЕРНОВ АЛЕКСАНДР ГЕННАДИЕВИЧ 10.02.1950	ДЕПАРТАМЕНТ АФРИКИ 01.04.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 31.07.2008
ЧЕРНОВ ВЛАДИСЛАВ ЛЬВОВИЧ 29.12.1950	ДЕПАРТАМЕНТ ПО ВОПРОСАМ БЕЗОПАСНОСТИ И РАЗОРУЖЕНИЯ 23.03.2011 	ГЛАВНЫЙ СОВЕТНИК ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.12.2000
ЧУПИН АНДРЕЙ АНДРЕЕВИЧ 01.10.1951	ГЕНКОНСУЛЬСТВО РОССИИ В ГЕТЕБОРГЕ, ШВЕЦИЯ 06.02.2011 05.02.2014	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2005
ШВЕДОВ АНДРЕЙ ВЛАДИМИРОВИЧ 05.11.1957	ПЕРВЫЙ ДЕПАРТАМЕНТ СТРАН СНГ 01.10.2008 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.08.2004
ШИПИЛОВ СЕРГЕЙ БОРИСОВИЧ 29.12.1954	ДЕП. АЗИАТ.И ТИХООКЕАН. СОТРУДНИЧЕСТВА 05.09.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 21.10.2010
ШМАНЕВСКИЙ АЛЕКСАНДР ЮРЬЕВИЧ 06.04.1957	ПОСОЛЬСТВО РОССИИ В МОНГОЛИИ 13.06.2008 12.06.2012	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.06.2011
ШПАНКИН ВЯЧЕСЛАВ СЕРГЕЕВИЧ 10.02.1958	ДЕПАРТАМЕНТ КАДРОВ 25.05.2005 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 23.04.2008
ШТОДИН ДМИТРИЙ ИЛЬИЧ	ПОСОЛЬСТВО РОССИИ В ИТАЛИИ	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 04.02.2013
ЩЕРБАКОВ АЛЕКСАНДР ПЕТРОВИЧ 13.05.1955	ЧЕТВЕРТЫЙ ЕВРОПЕЙСКИЙ ДЕП. 15.07.2011 	НАЧАЛЬНИК ОТДЕЛА В ДЕПАРТАМЕНТЕ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.01.2007
ЩЕРБАКОВ СЕРГЕЙ ВЕНИАМИНОВИЧ 22.02.1947	ГЕНКОНСУЛЬСТВО РОССИИ В КАРЛОВЫХ ВАРАХ, ЧЕХИЯ 14.02.2010 14.08.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 05.03.2005
ЩЕТИНИН АЛЕКСАНДР ВАЛЕНТИНОВИЧ 01.05.1962	ЛАТИНОАМЕРИКАНСКИЙ ДЕПАРТАМЕНТ 05.10.2009 	ДИРЕКТОР ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.02.2007
ЭЙВАЗОВ ТИМУР РАФАИЛОВИЧ	ДЕПАРТАМЕНТ ЭКОНОМИЧЕСКОГО СОТРУДНИЧЕСТВА	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 16.07.2012
ЮДИН ДМИТРИЙ ГЕННАДЬЕВИЧ 23.05.1950	РОТАЦИОННЫЙ РЕЗЕРВ 21.01.2006 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 19.01.1995
ЮДИНЦЕВ АЛЕКСЕЙ ВЛАДИМИРОВИЧ 19.11.1958	ДЕПАРТАМЕНТ ПО ВОПРОСАМ НОВЫХ ВЫЗОВОВ И УГРОЗ 01.09.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.12.2006
ЮШМАНОВ АНДРЕЙ КОНСТАНТИНОВИЧ 06.08.1958	ГЕНКОНСУЛЬСТВО РОССИИ В НЬЮ-ЙОРКЕ, США 05.02.2010 04.02.2013	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 29.01.2007
ЯКОВЕНКО АЛЕКСАНДР НИКОЛАЕВИЧ 16.06.1948	ГЕНКОНСУЛЬСТВО РОССИИ В АННАБЕ, АНДР 26.02.2008 25.02.2012	ГЕНЕРАЛЬНЫЙ КОНСУЛ	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 07.11.1997
ЯКОВЛЕВ АНДРЕЙ ИГОРЕВИЧ 09.02.1958	ДЕПАРТАМЕНТ ГОСУДАРСТВЕННОГО ПРОТОКОЛА 25.01.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 12.07.2010
ЯКОВЛЕВ МИХАИЛ МИХАЙЛОВИЧ 18.04.1958	ИСТОРИКО-ДОКУМЕНТАЛЬНЫЙ ДЕПАРТАМЕНТ 01.12.2010 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 20.11.2007
ЯРАХМЕДОВ АЗИМ АЛАУДИНОВИЧ 20.02.1960	ДСПО 22.08.2011 	ЗАМ.ДИРЕКТОРА ДЕПАРТАМЕНТА	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 17.06.2008
ЯШКИН АЛЕКСАНДР БОРИСОВИЧ 03.12.1953	ПОСОЛЬСТВО РОССИИ В ЭСТОНИИ 18.11.2010 17.11.2013	СОВЕТНИК-ПОСЛАННИК	ЧРЕЗВЫЧАЙНЫЙ И ПОЛНОМОЧНЫЙ ПОСЛАННИК 2 КЛАССА 25.12.2006
